INPUT:input	OUTPUT:answer	OUTPUT:Jan_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_Angry	OUTPUT:kendall_feel	OUTPUT:answer_in_love	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	GOLDEN:answer	GOLDEN:Jan_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_Angry	GOLDEN:kendall_feel	GOLDEN:answer_in_love	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	in_love	Being loved	Love makes everything in life positive and good		He is not ready to be separated from her for a second.	He is ready to share eternity with her				talk_to_Jan	Yes		Yes	Yes		eu.82d6615d-fd10-44a9-8140-d91824f0e1ed	Next to the woman he loves, he feels happy		He wants to take care of his soul mate	One presence in the life of a loved one makes his life complete																								https://platform.toloka.ai/task/39728371/00025e34f3--648f545fce8f6852fb6911b1	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f545fce8f6852fb6911b1	bfde68810d26c51f58a56f70d6910b8b	APPROVED	2023-06-18T19:00:47.234	+	
																																																			
test	in_love	Being loved	Totally Correct as Feeling in Love means being intimate and overwhelmed which’s exactly as the AI explained		Couldn’t agree more as Kendall willing to have a conversation with Jan about the upcoming dance date.	Totally correct as he showed love by making her warm				talk_to_Jan	Yes		Yes	Yes		eu.60614351-cd91-4c61-b913-6aed1bafbccc	Jan expressed her genuine feelings and love for Kendall which’s gonna make him overwhelmed and obsessed to make this relationship work.		Because he was thinking of the upcoming dance with her so logically he would want to talk to her.	Because he took good care of her while sleeping and showed intimacy.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f54921da0c520ee516842	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f54921da0c520ee516842	90fa8725edfce14d58f95631cd7b40b4	APPROVED	2023-06-18T19:01:38.162	+	
																																																			
test	in_love	Being loved	I agree. We feel positive emotions, love and care.		I agree. His thoughts indicate a desire to speak with Jan. 	His actions are quite natural for a loving person.				talk_to_Jan	Yes		Yes	no		eu.1f55fd44-6971-4c93-a221-af6213f3d180	Because it is obvious that he is in love, he and she are in love.They take care of each other, speak very kindly. The situation is romantic.		Because there is connection between the previous dialogue and cleaning the house.	Of course she will feel loved and taken care of.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f54946363e5730cc53420	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f54946363e5730cc53420	64ee489e93fed73f1fd88c44a8ee8bfe	APPROVED	2023-06-18T19:01:40.846	+	
																																																			
test	in_love	Being loved	She shows love towards a friend called Jan.		She is interested in knowing about who is going to the dance with Jan.	Kendall is concerned whether Jan is well and warm.				talk_to_Jan	Yes		Yes	Yes		eu.696ad691-e837-48e9-bb97-b265e92e9043	Kendall shows a strong romantic bond towards Jan.		She want's to know about the upcoming dance.	The concern Kendall shows towards him is a feeling of love.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f54a730a157283b8f781c	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f54a730a157283b8f781c	f66fab3f4844460495ad2fc206363540	APPROVED	2023-06-18T19:01:59.151	+	
																																																			
test	in_love	Being loved	I totally agree with AI rationale. I don't see why I should choose 'angry'. It's not logical.		I agree with AI's rationale.Our previous choice determined the next choice. We are interested in the development of character's relations.	I fully agree with AI rationale.				talk_to_Jan	Yes		Yes	Yes		eu.a7420755-f15e-4ae9-9ec1-c10246fa85f4	Because I want to start reading with positive emotions.		"In my opinion, it would be inappropriate to choose the option ""clean her home"" because Kendall was  looking forward to the dance."	I chose Being loved because I started to choose love history development from the begining.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f55261b85d236d904cc67	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f55261b85d236d904cc67	cd183e9eb538d3c9e23db7a682d994b5	APPROVED	2023-06-18T19:04:06.883	+	
																																																			
test	in_love	Being loved	Ai thinks they are in love for their connection. 		Ai thinking kendalls thoughts indictes a desire to have jan with dance.	Ai thinks feeling loved all the time and their intentions lead them to engagement. 				talk_to_Jan	Yes		Yes	Yes		eu.6401b32e-d267-483a-8013-9b8a88ae9a58	They.both were in good bonding, kendall felt it was the best feeling for him from her.		Takking to jan expresses the priority and love.	Being loved in theat time feeling good to them.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5652245d52430e6957a6	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5652245d52430e6957a6	361cb936a41a7d8f91ef5e69cf57ad09	APPROVED	2023-06-18T19:09:06.077	+	
																																																			
test	in_love	Being loved	Kendall and Jan didn't disagree at any point, instead they kept portraying their affection for each other.		There is clearly no indication between Kendall's thoughts and cleaning their home 	Kendall really loved Jan and didn't want her to feel cold.				talk_to_Jan	Yes		Yes	Yes		eu.a6fc3d1f-d4ad-4bbf-ac43-df470dc61fc2	Jan has never connected with anyone the way she has done with Kendall 		Kendall wanted to know if Jan knew the date for the the upcoming dance event.	Kendall wanted to make sure she stayed warm.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f58f008b5135b66fb7b00	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f58f008b5135b66fb7b00	1ec97196bc0c4ecb041da8968c5ca802	APPROVED	2023-06-18T19:20:16.422	+	
																																																			
test	in_love	Being loved	They feel good together and wish to be a couple.		They want to be life partners thats why.	Yes because its true love between them.				talk_to_Jan	Yes		Yes	Yes		eu.04cab450-c944-4348-98d3-88ef883c0552	Because they share the same feeling about eachother.love		Because he wanted to invite her to the dance.	Because she was taken care of as a sign of love.																								https://platform.toloka.ai/task/39728371/00025e34f3--648f590880e07a75fd8787a4	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f590880e07a75fd8787a4	1de9319d8543f4d007074453a8047d8a	APPROVED	2023-06-18T19:20:40.879	+	
																																																			
test	Angry		very polar options were chosen, it was possible to take a feeling of mixed feelings or misunderstanding of the situation	strange choices for action - you need to be simpler				Jan_home			no	no				eu.268c658f-e73e-4c55-a637-474a517fad12	Because he should be jealous	I didn't understand what the hospital had to do with it																										https://platform.toloka.ai/task/39728371/00025e34f3--648f5ba280636234aab92cad	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5ba280636234aab92cad	9a75226f7d12d7d900bcafe3b65de1e7	APPROVED	2023-06-18T19:31:46.618	+	
																																																			
test	in_love	Being loved	It will not meet how the real person's emotion		Meet the usual instinct of a person	AS Jab was happy and felt love				talk_to_Jan	Yes		Yes	no		eu.77d7a352-6619-45bb-957a-6e69af89a0e8	Because of the care of the character		Beacause of the desire to have a date with Jan	As Kendal did an effort to talk to Jan																								https://platform.toloka.ai/task/39728371/00025e34f3--648f5be25a761439e31ec6b9	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5be25a761439e31ec6b9	958c3715f0caad248f07df6550187b63	APPROVED	2023-06-18T19:32:50.640	+	
																																																			
test	in_love		It perfectly describes what happened.		it is good reasoning. It is clear that things happened that way.		It's exactly what I thought when I was watching the end.		love_2	clean_home	Yes		Yes		Yes	eu.65689cf6-bb5c-48f2-a5c0-04e1de1cc0b9	Feeling in love, Positive emotions		it is much more interesting. and by doing something for her, she will feel more love for him.		For Kendall's actions of cleaning Jan's home, being loced.																							https://platform.toloka.ai/task/39728371/00025e34f3--648f5be308b5135b66fbcc5e	9b7795b3-e9bd-40c2-942e-5aec7c926517	00025e34f3--648f5be308b5135b66fbcc5e	754e35bae1ec7f2ca89c326836a48978	APPROVED	2023-06-18T19:32:51.587	+	
																																																			
