INPUT:input	OUTPUT:answer	OUTPUT:Jan_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_Angry	OUTPUT:kendall_feel	OUTPUT:answer_in_love	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	GOLDEN:answer	GOLDEN:Jan_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_Angry	GOLDEN:kendall_feel	GOLDEN:answer_in_love	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
test	Angry		because thats what my views are	because i also think it wasnt that big of a deal 				Jan_home			Yes	Yes				eu.db9330f0-68e4-42f3-bfef-f9be6fb47c24	its hard to trust someone this early	because i dont think so it was a big deal just a little bit of tension																										https://platform.toloka.ai/task/39722515/00025e1e13--648ee52730a157283b7f4c1d	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee52730a157283b7f4c1d	887aed643646dfb3c599924f3d50e21b	APPROVED	2023-06-18T11:06:15.912
test	in_love	Being loved	No indication of anger in the conversation; positive sentiments and expressions of affection suggest love.		- Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.	Kendall's actions of trying to cover Jan with blankets may disturb her sleep, potentially making her feel ignored or bothered.				talk_to_Jan	no		Yes	Yes		eu.19a5a6a5-198a-441e-8307-99b857ef9001	Positive emotions, growth, and deep connection indicate a strong romantic bond.		Talk to Jan they are friends, t	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleeps.																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee52dd656784c326f8a4e	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee52dd656784c326f8a4e	91a2786f8bb9c9055a2762fcc87356c9	APPROVED	2023-06-18T11:06:21.674
test	in_love	Being loved	Love, positive emotions, interesting story 		"I do agree with ai.
And why should Kendall clean the house"	"I do agree.
Sleeping under the blanket is better"				talk_to_Jan	Yes		Yes	Yes		eu.cb3c989c-9e43-4c03-926b-114cc43411c7	"It's romantic.
They are talking about love and relationships "		It's logical way. It's nice to know the plans 	It's so nice when someone cares of you																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee5311958d1388ccf3467	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee5311958d1388ccf3467	98affa67e07b35ba057b84b0fa5502c9	APPROVED	2023-06-18T11:06:25.196
test	in_love	Being loved	because there is too many positive emotions and this indicates they both feeling in love		Talking to Jan was the reasonable one. It would be pointless to clean her home.	Because she is not ignored. He wants to keep her safe and warm. And that's why she can't feel ignored. Being loved is the reasonable one.				talk_to_Jan	Yes		Yes	Yes		eu.255645c9-ec5d-46ab-9ee6-c2cba19e285e	They love each other. It'd be pointless to feel angry		why would he clean her home?	She can't feel ignored if he cover her.																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee5359da3f310a1354298	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee5359da3f310a1354298	3bff8ff247b183747777b1650b6fb6e5	APPROVED	2023-06-18T11:06:29.504
test	in_love	Being loved	because there are signs that he is interested in Jan		he wants to start a conversation 	because obviously she needs the attention and care				talk_to_Jan	Yes		Yes	Yes		eu.2aeba314-50ad-4cdb-b8a6-09436ddcde43	because he obviously has affections to Jan		because he wants to initiate a relationship through conversation 	because she knows he is interested 																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee5845a761439e30c7b92	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee5845a761439e30c7b92	a45e6b7cd3f4908c871088958a6e6c6e	APPROVED	2023-06-18T11:07:48.092
test	Angry		Yes it is so nice one mate 	Feeling angry is nice game. F				Jan_home			Yes	Yes				eu.7c1980b2-80bf-491a-8876-0ef4854ea095	Positive growth good morning please 	Feeling better good game and services 																										https://platform.toloka.ai/task/39722515/00025e1e13--648ee65358db6d22ce846a82	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee65358db6d22ce846a82	cf744ca66e174d7bb58e1be9c3515a14	APPROVED	2023-06-18T11:11:15.365
test	in_love	Being loved	Positive emotions, growth, and deep connection indicate a strong romantic bond		 Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleep				talk_to_Jan	Yes		Yes	Yes		eu.ea2bb468-7a02-42ab-b60f-71d5dfb14f3c	Positive emotions, growth, and deep connection indicate a strong romantic bond		Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, suggesting love and concern for Jan's well-being while she sleep																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee71c1da0c520ee448beb	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee71c1da0c520ee448beb	e9e35e9a8dabc9754d1c69fac924381c	APPROVED	2023-06-18T11:14:36.570
test	in_love	Being loved	positive emotions are seen		indication of desire towards Jan	there are signs of concern and affection 				talk_to_Jan	Yes		Yes	Yes		eu.56960e59-5d88-43b8-b40d-43e90b295834	because he is obviously interested in Jan 		because he is interested in Jan 	because she would feel wanted and see affection 																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee7901958d1388ccf99d9	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee7901958d1388ccf99d9	f4908d114fbd5a124b6ebd3d727021a2	APPROVED	2023-06-18T11:16:32.850
test	in_love	Being loved	.                                                                            		.                                                                            	.                                                                            				talk_to_Jan	Yes		Yes	Yes		eu.bfa8da55-d314-48ff-bff8-5a099ba1c356	.                                                                                                                   		.                                                                            	.                                                                            																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee891ad1f8e1e8e31e6c8	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee891ad1f8e1e8e31e6c8	f84a203b61e06b8479785682be6ae838	APPROVED	2023-06-18T11:20:49.501
test	in_love	Being loved	Kendall's expresses his emotions of love		Kendall expresses an intention to talk to Jan	Kendall's actions of trying to cover Jan show his love and care				talk_to_Jan	Yes		Yes	no		eu.06dfb9f8-5a80-40f2-9676-52510f702600	because Kendall's words are about love		Kendall wants to learn about the date of dance	Trying to cover Jan, Kendall wants to make her warm and cosy and this gives Jan the feeling of being loved																								https://platform.toloka.ai/task/39722515/00025e1e13--648ee9be8fc91602f7861987	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee9be8fc91602f7861987	c4895ebf6ffbac86cc9c19e584d65c8a	APPROVED	2023-06-18T11:25:50.888
