INPUT:input	OUTPUT:answer	OUTPUT:Jan_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_Angry	OUTPUT:kendall_feel	OUTPUT:answer_in_love	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	GOLDEN:answer	GOLDEN:Jan_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_Angry	GOLDEN:kendall_feel	GOLDEN:answer_in_love	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	in_love	Being loved	They seem in love		That's what people in love do	Jan shows acts that prove love				talk_to_Jan	Yes		Yes	Yes		eu.8f29c29e-0edf-425f-a51d-ab53046dae66	Positivity		She likes him	She is treated well																								https://platform.toloka.ai/task/39720104/00025e14a8--648eb6e8a1af7c7d84b9cfac	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648eb6e8a1af7c7d84b9cfac	c5fb0875de08b8c4c3ed8a46337e9ec9	APPROVED	2023-06-18T07:48:56.934	+	
test	in_love	Being loved	When you in love you are feel positive emotions.		Yes, it is correct. Kendall want to have a conversation.	Being loved is a good emotion.				talk_to_Jan	Yes		Yes	Yes		eu.69af99c7-f158-401b-b795-f4df895c770c	Because love is great.		Because Kendall wanted to talk with Jan.	Being ignored is very bad feeling, so I choose being loved.																								https://platform.toloka.ai/task/39720104/00025e14a8--648eb71680e07a75fd73d9ca	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648eb71680e07a75fd73d9ca	141cefb57c6885592684e1f595e177ca	APPROVED	2023-06-18T07:49:42.929	+	
test	in_love	Being loved	Both lives together 		They should stay together 	They are living together happily 				talk_to_Jan	Yes		Yes	Yes		eu.82bbe5d2-b1c7-48e8-b300-c928a7f000ce	Because they are in deep connection and in romantic bond		Jan has found a date	Jan stays warm indicate care and affection 																								https://platform.toloka.ai/task/39720104/00025e14a8--648eb7bcd7c375249d2219fb	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648eb7bcd7c375249d2219fb	039f16d33060f19881da192aa34dffd1	APPROVED	2023-06-18T07:52:28.295	+	
test	in_love	Being loved	growth and connection		talk to jan about the dance	Kendall's actions of trying to make sure Jan stays warm indicate care and affection, 				talk_to_Jan	Yes		Yes	no		eu.d0ad8430-bdcb-4723-83dc-73307b3c71fe	Because Jan told her sweet words of growth and connection		ask jan to go to the dance with her	she covers jan so that he is not cold																								https://platform.toloka.ai/task/39720104/00025e14a8--648eb99feab89e4159a73549	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648eb99feab89e4159a73549	8b4b9effd636046504d9f4bb635b1c88	APPROVED	2023-06-18T08:00:31.434	+	
test	in_love	Being loved	they live together 		jan engaged with her	they shoul love each other				talk_to_Jan	Yes		Yes	Yes		eu.3ba6d472-e9f4-4813-99cf-cbc519eb1d0c	because they have deep connection and a romantic bond		jan has found a date	because they suggested love and concern 																								https://platform.toloka.ai/task/39720104/00025e14a8--648ebb1ed2237e38d7c83b95	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648ebb1ed2237e38d7c83b95	d05510a88cbb206d35fbaac0c87bd8be	APPROVED	2023-06-18T08:06:54.715	+	
test	Angry		He has been pandering to Jan and seeking validation from her and thus every thing he does never gets him the validation he wants. He is so frustrated since everything he does in order to get closer to Jan always push him away because he is a loser.	The above are posssibele outcomes				Jan_home			no	Yes				eu.f79afd49-2675-4806-a42b-fb7d83241905	He has been pandering to Jan and seeking validation from her and thus every thing he does never gets him the validation he wants. He is so frustrated since everything he does in order to get closer to Jan always push him away because he is a loser.	That was the best thing to do in the situation																										https://platform.toloka.ai/task/39720104/00025e14a8--648ebb1f30a157283b785fd5	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648ebb1f30a157283b785fd5	10580bdf6a46d5239243a23bb061797e	APPROVED	2023-06-18T08:06:55.427	+	
test	in_love	Being loved	Good emotions		I love good endings	I love good endings				talk_to_Jan	Yes		Yes	Yes		eu.ecf1ec25-698f-44c1-9fa6-066795fd1111	Love is pretty		I love good endings	caring is a manifestation of love																								https://platform.toloka.ai/task/39720104/00025e14a8--648ec0585a761439e30663f3	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648ec0585a761439e30663f3	0a536b68aa0f2ae751cf2b4480e4f90a	APPROVED	2023-06-18T08:29:12.397	+	
test	in_love		It is a mistake since I should have felt anger		correcto		correct		love_2	clean_home	no		Yes		Yes	eu.a1c7e86e-37b4-41ad-a740-1da5473c82a8	"
because I like love"		because I wanted to see what happened doing something different		i like love																							https://platform.toloka.ai/task/39720104/00025e14a8--648ec13508b5135b66e30166	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648ec13508b5135b66e30166	2cdc7d9ac1576355caf541498b375b7a	APPROVED	2023-06-18T08:32:53.303	+	
test	in_love	Being loved	To talk		To fall in love	Yeah				talk_to_Jan	Yes		Yes	no		eu.78f12867-b19a-44b6-871b-cf82d47883de	Since he sweared		Since it's the best way	The sense of love																								https://platform.toloka.ai/task/39720104/00025e14a8--648eb6e75a761439e304bef5	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648eb6e75a761439e304bef5	c504861d6d4908fff01426224a6dba7a	REJECTED	2023-06-18T07:48:55.815	-	Did not play the game. Responses are not adequate.
test	Angry		it look alot of time to load 	it is just a game so it is matter which option i choose				Jan hospital			no	no				eu.bda57d0e-143f-4918-8afe-566ad706895c	it took alot of time to load 	to make sure she is fine 																										https://platform.toloka.ai/task/39720104/00025e14a8--648eb78aad1f8e1e8e2b2e9a	5afc5b61-4996-460e-aff6-d93365ef9b5a	00025e14a8--648eb78aad1f8e1e8e2b2e9a	5b833ab2cd4dc08284e036d9c0ca4efe	REJECTED	2023-06-18T07:51:38.497	-	Did not enter satisfactory rationales. Please enter a more accurate rationale based on the context next time
